;
; These settings are not part recommendations, nor are they an 
; indication these parts are supported on Intel platforms. 
; All parts on this list have NOT been validated, and it is the 
; responsibility of the customer to validate the flash parts used
; on their platform.
;
; Flash parts may change opcodes and architectures so please refer
; to the respective flash datasheet and errata/application note and
; flash vendor to confirm.
;
;Description of fields:
;  1) Display name
;  2) Device ID (2 or 3 bytes)
;  3) Device Size (in bits)
;  4) Block Erase Size (in bytes - 256, 4K, 64K)
;  5) Block Erase Command
;  6) Write Granularity (1 or 64)
;  7) Enable Write Status Register Command (1- True, 0- False)
;  8) Chip Erase Command
;  9) Chip Erase Timeout (in milliseconds)
;
;winbond
MX25L3275E,          0xC22016, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L3273F,          0xC22016, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6405D,          0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6406E,          0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6445E,          0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6455E,          0xC22617, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6436E,          0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6473F,          0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6475E,          0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6450F,          0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6456F,          0xC22617, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6473E,          0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6495F,          0xC29517, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12805D,         0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12835E,         0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12836E,         0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12845E,         0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12855E,         0xC22618, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12865E,         0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12835F,         0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
